expression,meaning,example,domain
bak@dil,"diligence, hard work enabled by backup, copy",bak@dil,technology
bak@due,"due to, because of, owing to enabled by backup, copy",bak@due,technology
bak@ena,"enable, make possible, allow enabled by backup, copy",bak@ena,technology
ban@gas,"gaseous, diffuse of banana",ban@gas,abstract
ban@hid,hiding of banana,ban@hid,abstract
bar@ide,"idea, concept, notion of baraka, spiritual grace",bar@ide,abstract
bar@san,"sangha, spiritual community of baraka, spiritual grace",bar@san,abstract
bat@qeu,"queue, add to queue of bathroom, wash",bat@qeu,abstract
bea@bad,bad quality of beautiful,bea@bad = bad beautiful,physical
bea@bea,beautiful quality of beautiful,bea@bea = beautiful beautiful,physical
bea@bri,"hope, clarity, intelligence aspect of beautiful","bea@bri = the hope, clarity, intelligence beautiful",physical
bea@col,"distant, aloof, calm aspect of beautiful","bea@col = the distant, aloof, calm beautiful",physical
bea@con,contraction quality of beautiful,bea@con = contraction beautiful,physical
bea@dar,"dark, ignorance aspect of beautiful","bea@dar = the dark, ignorance beautiful",physical
bea@fal,"failure, decline, sunset form of beautiful",bea@fal,abstract
bea@goo,good quality of beautiful,bea@goo = good beautiful,physical
bea@har,"hard, resistant aspect of beautiful","bea@har = the hard, resistant beautiful",physical
bea@hot,"passion, anger, urgency aspect of beautiful","bea@hot = the passion, anger, urgency beautiful",physical
bea@imp,"implode, collapse quality of beautiful","bea@imp = implode, collapse beautiful",physical
bea@nec,"neck, connect quality of beautiful","bea@nec = neck, connect beautiful",physical
bea@per,"perceive, sense quality of beautiful","bea@per = perceive, sense beautiful",physical
bea@rou,rough aspect of beautiful,bea@rou = the rough beautiful,physical
bea@sha,shame aspect of beautiful,bea@sha = the shame beautiful,physical
bea@slo,"slope, incline quality of beautiful","bea@slo = slope, incline beautiful",physical
bea@smo,smooth aspect of beautiful,bea@smo = the smooth beautiful,physical
bea@sof,"soft, yielding aspect of beautiful","bea@sof = the soft, yielding beautiful",physical
bea@str,strong quality of beautiful,bea@str = strong beautiful,physical
bea@tex,"texture, feel aspect of beautiful","bea@tex = the texture, feel beautiful",physical
bea@tru,true form of beautiful,bea@tru,abstract
bea@wai,"wait, pause, delay aspect of beautiful","bea@wai = the wait, pause, delay beautiful",physical
bea@wea,weak quality of beautiful,bea@wea = weak beautiful,physical
bec@bad,bad form of because,bec@bad,abstract
bec@bea,beautiful form of because,bec@bea,abstract
bec@con,contraction form of because,bec@con,abstract
bec@fal,"failure, decline, sunset form of because",bec@fal,abstract
bec@goo,good form of because,bec@goo,abstract
bec@imp,"implode, collapse form of because",bec@imp,abstract
bec@nec,"neck, connect form of because",bec@nec,abstract
bec@per,"perceive, sense form of because",bec@per,abstract
bec@tru,true form of because,bec@tru,abstract
bee@lea,"leader of beer, brewed",bee@lea,abstract
bef@bir,"birth through before, prior",bef@bir,temporal
bef@cha,"change through before, prior",bef@cha,temporal
bef@dea,"death through before, prior",bef@dea,temporal
bef@dec,"decay through before, prior",bef@dec,temporal
bef@era,"era, age through before, prior",bef@era,temporal
bef@grd,"gradual, slow change through before, prior",bef@grd,temporal
bef@soc,"sock, foot cover of before, prior",bef@soc,temporal
beg@bir,birth through beginning,beg@bir,temporal
beg@cha,change through beginning,beg@cha,temporal
beg@dea,death through beginning,beg@dea,temporal
beg@dec,decay through beginning,beg@dec,temporal
beg@era,"era, age through beginning",beg@era,temporal
beg@grd,"gradual, slow change through beginning",beg@grd,temporal
beh@dia,"diameter, across relative to behind",beh@dia,spatial
beh@dow,downward relative to behind,beh@dow,spatial
beh@eas,"east, sunrise-direction relative to behind",beh@eas,spatial
beh@edg,edge relative to behind,beh@edg,spatial
beh@far,far relative to behind,beh@far,spatial
beh@fli,"flip, turn over relative to behind",beh@fli,spatial
beh@for,forward relative to behind,beh@for,spatial
beh@fro,in front relative to behind,beh@fro,spatial
beh@gap,"gap, space between relative to behind",beh@gap,spatial
beh@hei,"height, tall relative to behind",beh@hei,spatial
beh@her,here relative to behind,beh@her,spatial
beh@hex,"hexagon, six relative to behind",beh@hex,spatial
beh@hig,"high, elevated relative to behind",beh@hig,spatial
beh@ins,inside relative to behind,beh@ins,spatial
beh@lef,left relative to behind,beh@lef,spatial
beh@len,"length, long relative to behind",beh@len,spatial
beh@lin,line relative to behind,beh@lin,spatial
beh@low,"low, ground relative to behind",beh@low,spatial
beh@nea,near relative to behind,beh@nea,spatial
beh@nor,"north, up-direction relative to behind",beh@nor,spatial
bel@ans,"answer, reply aspect of below",bel@ans = combined cognition,cognitive
bel@bad,bad aspect of below,bel@bad = bad thinking,cognitive
bel@bea,beautiful aspect of below,bel@bea = beautiful thinking,cognitive
bel@con,contraction aspect of below,bel@con = contraction thinking,cognitive
bel@dia,"diameter, across relative to below",bel@dia,spatial
bel@dou,doubting aspect of below,bel@dou = combined cognition,cognitive
bel@dow,downward relative to below,bel@dow,spatial
bel@eas,"east, sunrise-direction relative to below",bel@eas,spatial
bel@edg,edge relative to below,bel@edg,spatial
bel@far,far relative to below,bel@far,spatial
bel@fli,"flip, turn over relative to below",bel@fli,spatial
bel@for,forward relative to below,bel@for,spatial
bel@fro,in front relative to below,bel@fro,spatial
bel@gap,"gap, space between relative to below",bel@gap,spatial
bel@goo,good aspect of below,bel@goo = good thinking,cognitive
bel@hei,"height, tall relative to below",bel@hei,spatial
bel@her,here relative to below,bel@her,spatial
bel@hex,"hexagon, six relative to below",bel@hex,spatial
bel@hig,"high, elevated relative to below",bel@hig,spatial
bel@ide,"idea, concept, notion aspect of below",bel@ide = combined cognition,cognitive
bel@imp,"implode, collapse aspect of below","bel@imp = implode, collapse thinking",cognitive
bel@ins,inside relative to below,bel@ins,spatial
bel@lef,left relative to below,bel@lef,spatial
bel@len,"length, long relative to below",bel@len,spatial
bel@lin,line relative to below,bel@lin,spatial
bel@low,"low, ground relative to below",bel@low,spatial
bel@mem,"memory, storage aspect of below",bel@mem = combined cognition,cognitive
bel@nea,near relative to below,bel@nea,spatial
bel@nec,"neck, connect aspect of below","bel@nec = neck, connect thinking",cognitive
bel@nor,"north, up-direction relative to below",bel@nor,spatial
bel@per,"perceive, sense aspect of below","bel@per = perceive, sense thinking",cognitive
bel@que,"question, query aspect of below",bel@que = combined cognition,cognitive
bel@rea,real aspect of below,bel@rea = combined cognition,cognitive
bel@slo,"slope, incline aspect of below","bel@slo = slope, incline thinking",cognitive
bel@str,strong aspect of below,bel@str = strong thinking,cognitive
bel@ufy,"unify, make equivalent (HVM/Pr of below",bel@ufy,spatial
bel@und,understanding aspect of below,bel@und = combined cognition,cognitive
bel@wea,weak aspect of below,bel@wea = weak thinking,cognitive
bel@wis,"wisdom, insight aspect of below",bel@wis = combined cognition,cognitive
ben@dee,"execute bend, curve in deep, profound, thorough manner",ben@dee,action
ben@dil,"execute bend, curve in diligence, hard work manner",ben@dil,action
ben@dro,"execute bend, curve in drought, dry manner",ben@dro,action
ben@flu,"execute bend, curve in fluent, smooth generation (LLM succ manner",ben@flu,action
ben@grd,"execute bend, curve in gradual, slow change manner",ben@grd,action
ben@har,"execute bend, curve in hard, resistant manner",ben@har,action
ben@jet,"execute bend, curve in jet, fast plane manner",ben@jet,action
ben@jnz,"execute bend, curve in noble person, gentleman, moral exem manner",ben@jnz,action
ben@kin,"execute bend, curve in kind, gentle manner",ben@kin,action
ben@nai,"execute bend, curve in nail, fasten manner",ben@nai,action
ben@nud,"execute bend, curve in nudge, gentle wake manner",ben@nud,action
ben@rou,"execute bend, curve in rough manner",ben@rou,action
ben@ruf,"execute bend, curve in rough, coarse, uneven texture manner",ben@ruf,action
ben@run,"execute bend, curve in run, fast move manner",ben@run,action
ben@sim,"execute bend, curve in easy, simple manner",ben@sim,action
ber@hea,"healthy of berry, small fruit",ber@hea,living
ber@old,"old of berry, small fruit",ber@old,living
ber@rep,"reptile, cold-blood of berry, small fruit",ber@rep,living
ber@soc,"sock, foot cover of berry, small fruit",ber@soc,living
bes@dia,"diameter, across relative to beside",bes@dia,spatial
bes@dow,downward relative to beside,bes@dow,spatial
bes@eas,"east, sunrise-direction relative to beside",bes@eas,spatial
bes@edg,edge relative to beside,bes@edg,spatial
bes@far,far relative to beside,bes@far,spatial
bes@fli,"flip, turn over relative to beside",bes@fli,spatial
bes@for,forward relative to beside,bes@for,spatial
bes@fro,in front relative to beside,bes@fro,spatial
bes@frt,"fortitude, endurance, strength of beside",bes@frt,spatial
bes@gap,"gap, space between relative to beside",bes@gap,spatial
bes@hei,"height, tall relative to beside",bes@hei,spatial
bes@her,here relative to beside,bes@her,spatial
bes@hex,"hexagon, six relative to beside",bes@hex,spatial
bes@hig,"high, elevated relative to beside",bes@hig,spatial
bes@ins,inside relative to beside,bes@ins,spatial
bes@lef,left relative to beside,bes@lef,spatial
bes@len,"length, long relative to beside",bes@len,spatial
bes@lin,line relative to beside,bes@lin,spatial
bes@low,"low, ground relative to beside",bes@low,spatial
bes@nea,near relative to beside,bes@nea,spatial
bes@nor,"north, up-direction relative to beside",bes@nor,spatial
bes@sim,"easy, simple of beside",bes@sim,spatial
bet@dia,"diameter, across relative to between",bet@dia,spatial
bet@dow,downward relative to between,bet@dow,spatial
bet@eas,"east, sunrise-direction relative to between",bet@eas,spatial
bet@edg,edge relative to between,bet@edg,spatial
bet@far,far relative to between,bet@far,spatial
bet@fli,"flip, turn over relative to between",bet@fli,spatial
bet@for,forward relative to between,bet@for,spatial
bet@fro,in front relative to between,bet@fro,spatial
bet@gap,"gap, space between relative to between",bet@gap,spatial
bet@hei,"height, tall relative to between",bet@hei,spatial
bet@her,here relative to between,bet@her,spatial
bet@hex,"hexagon, six relative to between",bet@hex,spatial
bet@hig,"high, elevated relative to between",bet@hig,spatial
bet@ins,inside relative to between,bet@ins,spatial
bet@int,"intuition, sense of between",bet@int,spatial
bet@lef,left relative to between,bet@lef,spatial
bet@len,"length, long relative to between",bet@len,spatial
bet@lin,line relative to between,bet@lin,spatial
bet@low,"low, ground relative to between",bet@low,spatial
bet@nea,near relative to between,bet@nea,spatial
bet@nor,"north, up-direction relative to between",bet@nor,spatial
big@sma,"contrast between large, big and small, tiny",big@sma,abstract
bik@udc,"underconfident, too unsure of bike, bicycle",bik@udc,abstract
bio@cat,"catalyst, accelerator of biology, life science",bio@cat,abstract
bir@bad,bad birth,bir@bad = type of birth,living
bir@bea,beautiful birth,bir@bea = type of birth,living
bir@cat,"how birth can catalyst, accelerator",bir@cat = capability,living
bir@cha,change through birth,bir@cha,temporal
bir@chk,"check, verify, test of birth",bir@chk,temporal
bir@con,contraction birth,bir@con = type of birth,living
bir@dea,death through birth,bir@dea,temporal
bir@dec,decay through birth,bir@dec,temporal
bir@era,"era, age through birth",bir@era,temporal
bir@goo,good birth,bir@goo = type of birth,living
bir@grd,"gradual, slow change through birth",bir@grd,temporal
bir@imp,"implode, collapse birth",bir@imp = type of birth,living
bir@jum,"how birth can jump, leap",bir@jum = capability,living
bir@lea,how birth can leader,bir@lea = capability,living
bir@nec,"neck, connect birth",bir@nec = type of birth,living
bir@per,"perceive, sense birth",bir@per = type of birth,living
bir@prl,"parallel, concurrent execution of birth",bir@prl,temporal
bir@pul,how birth can pulling,bir@pul = capability,living
bir@pus,how birth can pushing,bir@pus = capability,living
bir@run,"how birth can run, fast move",bir@run = capability,living
bir@slo,"slope, incline birth",bir@slo = type of birth,living
bir@str,strong birth,bir@str = type of birth,living
bir@thr,"how birth can thread, string",bir@thr = capability,living
bir@wal,"how birth can wall, barrier",bir@wal = capability,living
bir@wea,weak birth,bir@wea = type of birth,living
bld@dee,"execute build, construct, assemble in deep, profound, thorough manner",bld@dee,action
bld@dil,"execute build, construct, assemble in diligence, hard work manner",bld@dil,action
bld@dro,"execute build, construct, assemble in drought, dry manner",bld@dro,action
bld@epi,"epistemic uncertainty - could  of build, construct, assemble",bld@epi,action
bld@flu,"execute build, construct, assemble in fluent, smooth generation (LLM succ manner",bld@flu,action
bld@grd,"execute build, construct, assemble in gradual, slow change manner",bld@grd,action
bld@har,"execute build, construct, assemble in hard, resistant manner",bld@har,action
bld@jet,"execute build, construct, assemble in jet, fast plane manner",bld@jet,action
bld@jnz,"execute build, construct, assemble in noble person, gentleman, moral exem manner",bld@jnz,action
bld@kin,"execute build, construct, assemble in kind, gentle manner",bld@kin,action
bld@nai,"execute build, construct, assemble in nail, fasten manner",bld@nai,action
bld@nud,"execute build, construct, assemble in nudge, gentle wake manner",bld@nud,action
bld@rou,"execute build, construct, assemble in rough manner",bld@rou,action
bld@ruf,"execute build, construct, assemble in rough, coarse, uneven texture manner",bld@ruf,action
bld@run,"execute build, construct, assemble in run, fast move manner",bld@run,action
bld@sim,"execute build, construct, assemble in easy, simple manner",bld@sim,action
ble@fra,"fragment, piece of blessing, divine favor",ble@fra,abstract
blf@now,"present moment of cliff, precipice",blf@now,abstract
blf@til,"tilt, lean of cliff, precipice",blf@til,abstract
blo@hea,healthy of blood,blo@hea,living
blo@old,old of blood,blo@old,living
blo@rep,"reptile, cold-blood of blood",blo@rep,living
bnd@urg,"urgent, pressing of bend, generate recursive struc",bnd@urg,abstract
bng@dee,"execute bring, carry to, deliver in deep, profound, thorough manner",bng@dee,action
bng@dil,"execute bring, carry to, deliver in diligence, hard work manner",bng@dil,action
bng@dro,"execute bring, carry to, deliver in drought, dry manner",bng@dro,action
bng@flu,"execute bring, carry to, deliver in fluent, smooth generation (LLM succ manner",bng@flu,action
bng@grd,"execute bring, carry to, deliver in gradual, slow change manner",bng@grd,action
bng@har,"execute bring, carry to, deliver in hard, resistant manner",bng@har,action
bng@jet,"execute bring, carry to, deliver in jet, fast plane manner",bng@jet,action
bng@jnz,"execute bring, carry to, deliver in noble person, gentleman, moral exem manner",bng@jnz,action
bng@kin,"execute bring, carry to, deliver in kind, gentle manner",bng@kin,action
bng@nai,"execute bring, carry to, deliver in nail, fasten manner",bng@nai,action
bng@nud,"execute bring, carry to, deliver in nudge, gentle wake manner",bng@nud,action
bng@rou,"execute bring, carry to, deliver in rough manner",bng@rou,action
bng@ruf,"execute bring, carry to, deliver in rough, coarse, uneven texture manner",bng@ruf,action
bng@run,"execute bring, carry to, deliver in run, fast move manner",bng@run,action
bng@sim,"execute bring, carry to, deliver in easy, simple manner",bng@sim,action
boa@tid,"tide, ebb and flow of boat, watercraft",boa@tid,abstract
bod@eld,"elder, respected senior of awakening, enlightenment (Budd",bod@eld,abstract
bol@aft,"after, following, subsequent t of boil, bubble",bol@aft,physical
bol@dpt,"depth of understanding (LLM su of boil, bubble",bol@dpt,physical
bol@nal,"nation, country, homeland of boil, bubble",bol@nal,physical
bon@bad,bad quality of bone,bon@bad = bad bone,physical
bon@bea,beautiful quality of bone,bon@bea = beautiful bone,physical
bon@bri,"hope, clarity, intelligence aspect of bone","bon@bri = the hope, clarity, intelligence bone",physical
bon@col,"distant, aloof, calm aspect of bone","bon@col = the distant, aloof, calm bone",physical
bon@con,contraction quality of bone,bon@con = contraction bone,physical
bon@dar,"dark, ignorance aspect of bone","bon@dar = the dark, ignorance bone",physical
bon@goo,good quality of bone,bon@goo = good bone,physical
bon@har,"hard, resistant aspect of bone","bon@har = the hard, resistant bone",physical
bon@hea,healthy of bone,bon@hea,living
bon@hot,"passion, anger, urgency aspect of bone","bon@hot = the passion, anger, urgency bone",physical
bon@imp,"implode, collapse quality of bone","bon@imp = implode, collapse bone",physical
bon@nec,"neck, connect quality of bone","bon@nec = neck, connect bone",physical
bon@old,old of bone,bon@old,living
bon@per,"perceive, sense quality of bone","bon@per = perceive, sense bone",physical
bon@rep,"reptile, cold-blood of bone",bon@rep,living
bon@rou,rough aspect of bone,bon@rou = the rough bone,physical
bon@sha,shame aspect of bone,bon@sha = the shame bone,physical
bon@slo,"slope, incline quality of bone","bon@slo = slope, incline bone",physical
bon@smo,smooth aspect of bone,bon@smo = the smooth bone,physical
bon@sof,"soft, yielding aspect of bone","bon@sof = the soft, yielding bone",physical
bon@str,strong quality of bone,bon@str = strong bone,physical
bon@tex,"texture, feel aspect of bone","bon@tex = the texture, feel bone",physical
bon@wai,"wait, pause, delay aspect of bone","bon@wai = the wait, pause, delay bone",physical
bon@wea,weak quality of bone,bon@wea = weak bone,physical
boo@art,"art, creative work enabled by book, read",boo@art,technology
boo@ate,"make, cause to be, act enabled by book, read",boo@ate,technology
boo@bec,"because enabled by book, read",boo@bec,technology
boo@bld,"build, construct, assemble enabled by book, read",boo@bld,technology
boo@cau,"cause, reason why, causation enabled by book, read",boo@cau,technology
boo@closure,"function closure enabled by book, read",boo@closure,technology
boo@combinator,"combinator function enabled by book, read",boo@combinator,technology
boo@coroutine,"coroutine function enabled by book, read",boo@coroutine,technology
boo@cpu,"processor, compute enabled by book, read",boo@cpu,technology
boo@cra,"craft, handwork enabled by book, read",boo@cra,technology
boo@cst,"construct, build node (HVM primitiv enabled by book, read",boo@cst,technology
boo@derivation,"word formation process enabled by book, read",boo@derivation,technology
boo@dil,"diligence, hard work enabled by book, read",boo@dil,technology
boo@due,"due to, because of, owing to enabled by book, read",boo@due,technology
boo@ena,"enable, make possible, allow enabled by book, read",boo@ena,technology
bor@fox,"fox, canine of bored, disinterest",bor@fox,cognitive
bot@art,"art, creative work enabled by automated agent",bot@art,technology
bot@ate,"make, cause to be, act enabled by automated agent",bot@ate,technology
bot@bec,because enabled by automated agent,bot@bec,technology
bot@bld,"build, construct, assemble enabled by automated agent",bot@bld,technology
bot@cau,"cause, reason why, causation enabled by automated agent",bot@cau,technology
bot@closure,function closure enabled by automated agent,bot@closure,technology
bot@combinator,combinator function enabled by automated agent,bot@combinator,technology
bot@coroutine,coroutine function enabled by automated agent,bot@coroutine,technology
bot@cpu,"processor, compute enabled by automated agent",bot@cpu,technology
bot@cra,"craft, handwork enabled by automated agent",bot@cra,technology
bot@cst,"construct, build node (HVM primitiv enabled by automated agent",bot@cst,technology
bot@derivation,word formation process enabled by automated agent,bot@derivation,technology
bot@dil,"diligence, hard work enabled by automated agent",bot@dil,technology
bot@due,"due to, because of, owing to enabled by automated agent",bot@due,technology
bot@ena,"enable, make possible, allow enabled by automated agent",bot@ena,technology
bot@top,"balance of top, upper in automated agent",bot@top,abstract
bou@bad,"bad form of boundary, limit","bou@bad = bad boundary, limit",abstract
bou@bea,"beautiful form of boundary, limit","bou@bea = beautiful boundary, limit",abstract
bou@con,"contraction form of boundary, limit","bou@con = contraction boundary, limit",abstract
bou@fal,"failure, decline, sunset form of boundary, limit",bou@fal,abstract
bou@goo,"good form of boundary, limit","bou@goo = good boundary, limit",abstract
bou@imp,"implode, collapse form of boundary, limit","bou@imp = implode, collapse boundary, limit",abstract
bou@nec,"neck, connect form of boundary, limit","bou@nec = neck, connect boundary, limit",abstract
bou@per,"perceive, sense form of boundary, limit","bou@per = perceive, sense boundary, limit",abstract
bou@slo,"slope, incline form of boundary, limit","bou@slo = slope, incline boundary, limit",abstract
bou@str,"strong form of boundary, limit","bou@str = strong boundary, limit",abstract
bou@tru,"true form of boundary, limit",bou@tru,abstract
bou@wea,"weak form of boundary, limit","bou@wea = weak boundary, limit",abstract
bow@art,"art, creative work enabled by bowl, container",bow@art,technology
bow@ate,"make, cause to be, act enabled by bowl, container",bow@ate,technology
bow@bec,"because enabled by bowl, container",bow@bec,technology
bow@bld,"build, construct, assemble enabled by bowl, container",bow@bld,technology
bow@cau,"cause, reason why, causation enabled by bowl, container",bow@cau,technology
bow@closure,"function closure enabled by bowl, container",bow@closure,technology
bow@combinator,"combinator function enabled by bowl, container",bow@combinator,technology
bow@coroutine,"coroutine function enabled by bowl, container",bow@coroutine,technology
bow@cpu,"processor, compute enabled by bowl, container",bow@cpu,technology
bow@cra,"craft, handwork enabled by bowl, container",bow@cra,technology
bow@cst,"construct, build node (HVM primitiv enabled by bowl, container",bow@cst,technology
bow@derivation,"word formation process enabled by bowl, container",bow@derivation,technology
bow@dil,"diligence, hard work enabled by bowl, container",bow@dil,technology
bow@due,"due to, because of, owing to enabled by bowl, container",bow@due,technology
bow@ena,"enable, make possible, allow enabled by bowl, container",bow@ena,technology
box@art,"art, creative work enabled by box, container",box@art,technology
box@ate,"make, cause to be, act enabled by box, container",box@ate,technology
box@bec,"because enabled by box, container",box@bec,technology
box@bld,"build, construct, assemble enabled by box, container",box@bld,technology
box@cau,"cause, reason why, causation enabled by box, container",box@cau,technology
box@closure,"function closure enabled by box, container",box@closure,technology
box@combinator,"combinator function enabled by box, container",box@combinator,technology
box@coroutine,"coroutine function enabled by box, container",box@coroutine,technology
box@cpu,"processor, compute enabled by box, container",box@cpu,technology
box@cra,"craft, handwork enabled by box, container",box@cra,technology
box@cst,"construct, build node (HVM primitiv enabled by box, container",box@cst,technology
box@derivation,"word formation process enabled by box, container",box@derivation,technology
box@dil,"diligence, hard work enabled by box, container",box@dil,technology
box@due,"due to, because of, owing to enabled by box, container",box@due,technology
box@ena,"enable, make possible, allow enabled by box, container",box@ena,technology
bra@hea,healthy of brain,bra@hea,living
bra@old,old of brain,bra@old,living
bra@rep,"reptile, cold-blood of brain",bra@rep,living
bra@sup,"superposition, multiple meanin of brain",bra@sup,living
brd@acr,"across, from one side to other of bread, baked dough",brd@acr,abstract
bre@bir,birth through brief,bre@bir,temporal
bre@cha,change through brief,bre@cha,temporal
bre@dea,death through brief,bre@dea,temporal
bre@dec,decay through brief,bre@dec,temporal
bre@era,"era, age through brief",bre@era,temporal
bre@grd,"gradual, slow change through brief",bre@grd,temporal
bri@bad,"bad form of hope, clarity, intelligence",bri@bad,abstract
bri@bea,"beautiful form of hope, clarity, intelligence",bri@bea,abstract
bri@con,"contraction form of hope, clarity, intelligence",bri@con,abstract
bri@dar,"contrast between hope, clarity, intelligence and dark, ignorance",bri@dar,abstract
bri@fal,"failure, decline, sunset form of hope, clarity, intelligence",bri@fal,abstract
bri@goo,"good form of hope, clarity, intelligence",bri@goo,abstract
bri@imp,"implode, collapse form of hope, clarity, intelligence",bri@imp,abstract
bri@nec,"neck, connect form of hope, clarity, intelligence",bri@nec,abstract
bri@per,"perceive, sense form of hope, clarity, intelligence",bri@per,abstract
bri@tru,"true form of hope, clarity, intelligence",bri@tru,abstract
bri@wan,"wanting of hope, clarity, intelligence",bri@wan,abstract
brk@dee,"execute break, shatter, snap in deep, profound, thorough manner",brk@dee,action
brk@dil,"execute break, shatter, snap in diligence, hard work manner",brk@dil,action
brk@dro,"execute break, shatter, snap in drought, dry manner",brk@dro,action
brk@flu,"execute break, shatter, snap in fluent, smooth generation (LLM succ manner",brk@flu,action
brk@grd,"execute break, shatter, snap in gradual, slow change manner",brk@grd,action
brk@har,"execute break, shatter, snap in hard, resistant manner",brk@har,action
brk@jet,"execute break, shatter, snap in jet, fast plane manner",brk@jet,action
brk@jnz,"execute break, shatter, snap in noble person, gentleman, moral exem manner",brk@jnz,action
brk@kin,"execute break, shatter, snap in kind, gentle manner",brk@kin,action
brk@nai,"execute break, shatter, snap in nail, fasten manner",brk@nai,action
brk@nud,"execute break, shatter, snap in nudge, gentle wake manner",brk@nud,action
brk@rou,"execute break, shatter, snap in rough manner",brk@rou,action
brk@ruf,"execute break, shatter, snap in rough, coarse, uneven texture manner",brk@ruf,action
brk@run,"execute break, shatter, snap in run, fast move manner",brk@run,action
brk@sim,"execute break, shatter, snap in easy, simple manner",brk@sim,action
brk@umm,"ummah, community of faith of break, shatter, snap",brk@umm,action
btw@dia,"diameter, across relative to between, in the middle of",btw@dia,spatial
btw@dow,"downward relative to between, in the middle of",btw@dow,spatial
btw@eas,"east, sunrise-direction relative to between, in the middle of",btw@eas,spatial
btw@edg,"edge relative to between, in the middle of",btw@edg,spatial
btw@far,"far relative to between, in the middle of",btw@far,spatial
btw@fli,"flip, turn over relative to between, in the middle of",btw@fli,spatial
btw@for,"forward relative to between, in the middle of",btw@for,spatial
btw@fro,"in front relative to between, in the middle of",btw@fro,spatial
btw@gap,"gap, space between relative to between, in the middle of",btw@gap,spatial
btw@hei,"height, tall relative to between, in the middle of",btw@hei,spatial
btw@her,"here relative to between, in the middle of",btw@her,spatial
btw@hex,"hexagon, six relative to between, in the middle of",btw@hex,spatial
btw@hig,"high, elevated relative to between, in the middle of",btw@hig,spatial
btw@ins,"inside relative to between, in the middle of",btw@ins,spatial
btw@lef,"left relative to between, in the middle of",btw@lef,spatial
btw@len,"length, long relative to between, in the middle of",btw@len,spatial
btw@lin,"line relative to between, in the middle of",btw@lin,spatial
btw@low,"low, ground relative to between, in the middle of",btw@low,spatial
btw@nea,"near relative to between, in the middle of",btw@nea,spatial
btw@nor,"north, up-direction relative to between, in the middle of",btw@nor,spatial
bug@hea,healthy of insect,bug@hea,living
bug@old,old of insect,bug@old,living
bug@rep,"reptile, cold-blood of insect",bug@rep,living
bur@pek,"mountain, peak of burning",bur@pek,physical
but@hea,"healthy of butterfly, insect",but@hea,living
but@old,"old of butterfly, insect",but@old,living
but@rep,"reptile, cold-blood of butterfly, insect",but@rep,living
cal@ang,anger within calm,cal@ang = emotional layering,emotion
cal@cat,"catalyst, accelerator with calm",cal@cat = emotionally charged action,emotion
cal@dam,blocking of calm,cal@dam,cognitive
cal@des,"desire, want strongly, crave within calm",cal@des = emotional layering,emotion
cal@dia,"diameter, across within calm",cal@dia = emotional layering,emotion
cal@gra,"grass, lawn within calm",cal@gra = emotional layering,emotion
cal@hop,hope within calm,cal@hop = emotional layering,emotion
cal@joy,joy within calm,cal@joy = emotional layering,emotion
cal@jum,"jump, leap with calm",cal@jum = emotionally charged action,emotion
cal@kin,"bittersweet blend: kind, gentle in calm",cal@kin,emotion
cal@lea,leader with calm,cal@lea = emotionally charged action,emotion
cal@lov,love within calm,cal@lov = emotional layering,emotion
cal@pru,"bittersweet blend: prudence, wisdom in action in calm",cal@pru,emotion
cal@pul,pulling with calm,cal@pul = emotionally charged action,emotion
cal@pus,pushing with calm,cal@pus = emotionally charged action,emotion
cal@run,"run, fast move with calm",cal@run = emotionally charged action,emotion
cal@sad,sadness within calm,cal@sad = emotional layering,emotion
cal@thr,"thread, string with calm",cal@thr = emotionally charged action,emotion
cal@wal,"wall, barrier with calm",cal@wal = emotionally charged action,emotion
cal@wro,"wrong, incorrect, mistaken within calm",cal@wro = emotional layering,emotion
can@pun,"punish, penalty of can, able to, capable",can@pun,abstract
cat@age,"agent aspect of catalyst, accelerator","cat@age = when to catalyst, accelerator",temporal
cat@all,"all, every while catalyst, accelerator","cat@all = catalyst, accelerator state",action
cat@alw,"always aspect of catalyst, accelerator","cat@alw = when to catalyst, accelerator",temporal
cat@awa,"away, distant from, departing while catalyst, accelerator","cat@awa = catalyst, accelerator state",action
cat@bac,"backward direction of catalyst, accelerator","cat@bac = catalyst, accelerator backward",spatial
cat@bad,"bad form of catalyst, accelerator",cat@bad = execute in bad way,action
cat@bea,"beautiful form of catalyst, accelerator",cat@bea = execute in beautiful way,action
cat@cat,"how catalyst, accelerator can catalyst, accelerator",cat@cat = capability,living
cat@cen,"center direction of catalyst, accelerator","cat@cen = catalyst, accelerator center",spatial
cat@con,"contraction form of catalyst, accelerator",cat@con = execute in contraction way,action
cat@dow,"downward direction of catalyst, accelerator","cat@dow = catalyst, accelerator downward",spatial
cat@dre,"dreaming while catalyst, accelerator","cat@dre = catalyst, accelerator state",action
cat@dur,"duration, time span, interval aspect of catalyst, accelerator","cat@dur = when to catalyst, accelerator",temporal
cat@edg,"edge direction of catalyst, accelerator","cat@edg = catalyst, accelerator edge",spatial
cat@ene,"enemy while catalyst, accelerator","cat@ene = catalyst, accelerator state",action
cat@far,"far direction of catalyst, accelerator","cat@far = catalyst, accelerator far",spatial
cat@fro,"in front direction of catalyst, accelerator","cat@fro = catalyst, accelerator in front",spatial
cat@ful,"full, complete while catalyst, accelerator","cat@ful = catalyst, accelerator state",action
cat@fut,"future aspect of catalyst, accelerator","cat@fut = when to catalyst, accelerator",temporal
