expression,meaning,example,domain,base_word,intensity_level,intensity_value,semantic_group
gra^0.8,absolute gratitude,gra^0.8 = absolute gratitude,Emotional,gra,intense,0.8,gratitude
gra^0.9,absolute gratitude,gra^0.9 = absolute gratitude,Emotional,gra,extreme,0.9,gratitude
gra^1.0,absolute gratitude,gra^1.0 = absolute gratitude,Emotional,gra,maximum,1.0,gratitude
env^0.1,slight envy,env^0.1 = slight envy,Emotional,env,minimal,0.1,envy
env^0.2,somewhat envious,env^0.2 = somewhat envious,Emotional,env,slight,0.2,envy
env^0.3,fairly envious,env^0.3 = fairly envious,Emotional,env,subtle,0.3,envy
env^0.5,very envious,env^0.5 = very envious,Emotional,env,moderate,0.5,envy
env^0.7,green with envy,env^0.7 = green with envy,Emotional,env,strong,0.7,envy
env^0.8,consuming envy,env^0.8 = consuming envy,Emotional,env,intense,0.8,envy
env^0.9,consuming envy,env^0.9 = consuming envy,Emotional,env,extreme,0.9,envy
env^1.0,consuming envy,env^1.0 = consuming envy,Emotional,env,maximum,1.0,envy
jea^0.1,slight protective,jea^0.1 = slight protective,Emotional,jea,minimal,0.1,jealousy
jea^0.2,somewhat protective,jea^0.2 = somewhat protective,Emotional,jea,slight,0.2,jealousy
jea^0.3,fairly jealous,jea^0.3 = fairly jealous,Emotional,jea,subtle,0.3,jealousy
jea^0.5,very jealous,jea^0.5 = very jealous,Emotional,jea,moderate,0.5,jealousy
jea^0.7,obsessive,jea^0.7 = obsessive,Emotional,jea,strong,0.7,jealousy
jea^0.8,consuming jealousy,jea^0.8 = consuming jealousy,Emotional,jea,intense,0.8,jealousy
jea^0.9,consuming jealousy,jea^0.9 = consuming jealousy,Emotional,jea,extreme,0.9,jealousy
jea^1.0,consuming jealousy,jea^1.0 = consuming jealousy,Emotional,jea,maximum,1.0,jealousy
dis^0.1,slight repulsed,dis^0.1 = slight repulsed,Emotional,dis,minimal,0.1,disgust
dis^0.2,somewhat disgusted,dis^0.2 = somewhat disgusted,Emotional,dis,slight,0.2,disgust
dis^0.3,fairly disgusted,dis^0.3 = fairly disgusted,Emotional,dis,subtle,0.3,disgust
dis^0.5,very disgusted,dis^0.5 = very disgusted,Emotional,dis,moderate,0.5,disgust
dis^0.7,absolutely repulsed,dis^0.7 = absolutely repulsed,Emotional,dis,strong,0.7,disgust
dis^0.8,utter disgust,dis^0.8 = utter disgust,Emotional,dis,intense,0.8,disgust
dis^0.9,utter disgust,dis^0.9 = utter disgust,Emotional,dis,extreme,0.9,disgust
dis^1.0,utter disgust,dis^1.0 = utter disgust,Emotional,dis,maximum,1.0,disgust
awe^0.1,slight amazed,awe^0.1 = slight amazed,Emotional,awe,minimal,0.1,awe
awe^0.2,somewhat amazed,awe^0.2 = somewhat amazed,Emotional,awe,slight,0.2,awe
awe^0.3,fairly awed,awe^0.3 = fairly awed,Emotional,awe,subtle,0.3,awe
awe^0.5,very awed,awe^0.5 = very awed,Emotional,awe,moderate,0.5,awe
awe^0.7,stunned,awe^0.7 = stunned,Emotional,awe,strong,0.7,awe
awe^0.8,absolute awe,awe^0.8 = absolute awe,Emotional,awe,intense,0.8,awe
awe^0.9,absolute awe,awe^0.9 = absolute awe,Emotional,awe,extreme,0.9,awe
awe^1.0,absolute awe,awe^1.0 = absolute awe,Emotional,awe,maximum,1.0,awe
emp^0.1,slight understanding,emp^0.1 = slight understanding,Emotional,emp,minimal,0.1,empathy
emp^0.2,somewhat empathetic,emp^0.2 = somewhat empathetic,Emotional,emp,slight,0.2,empathy
emp^0.3,fairly empathetic,emp^0.3 = fairly empathetic,Emotional,emp,subtle,0.3,empathy
emp^0.5,very empathetic,emp^0.5 = very empathetic,Emotional,emp,moderate,0.5,empathy
emp^0.7,profound connection,emp^0.7 = profound connection,Emotional,emp,strong,0.7,empathy
emp^0.8,complete empathy,emp^0.8 = complete empathy,Emotional,emp,intense,0.8,empathy
emp^0.9,complete empathy,emp^0.9 = complete empathy,Emotional,emp,extreme,0.9,empathy
emp^1.0,complete empathy,emp^1.0 = complete empathy,Emotional,emp,maximum,1.0,empathy
thi^0.1,barely conscious,thi^0.1 = barely conscious,Cognitive,thi,minimal,0.1,thinking intensity
thi^0.2,slight thought,thi^0.2 = slight thought,Cognitive,thi,slight,0.2,thinking intensity
thi^0.3,somewhat thoughtful,thi^0.3 = somewhat thoughtful,Cognitive,thi,subtle,0.3,thinking intensity
thi^0.5,very thoughtful,thi^0.5 = very thoughtful,Cognitive,thi,moderate,0.5,thinking intensity
thi^0.7,deep contemplation,thi^0.7 = deep contemplation,Cognitive,thi,strong,0.7,thinking intensity
thi^0.8,total absorption,thi^0.8 = total absorption,Cognitive,thi,intense,0.8,thinking intensity
thi^0.9,total absorption,thi^0.9 = total absorption,Cognitive,thi,extreme,0.9,thinking intensity
thi^1.0,total absorption,thi^1.0 = total absorption,Cognitive,thi,maximum,1.0,thinking intensity
und^0.1,confused,und^0.1 = confused,Cognitive,und,minimal,0.1,understanding
und^0.2,partially clear,und^0.2 = partially clear,Cognitive,und,slight,0.2,understanding
und^0.3,somewhat clear,und^0.3 = somewhat clear,Cognitive,und,subtle,0.3,understanding
und^0.5,very clear,und^0.5 = very clear,Cognitive,und,moderate,0.5,understanding
und^0.7,deeply understood,und^0.7 = deeply understood,Cognitive,und,strong,0.7,understanding
und^0.8,complete mastery,und^0.8 = complete mastery,Cognitive,und,intense,0.8,understanding
und^0.9,complete mastery,und^0.9 = complete mastery,Cognitive,und,extreme,0.9,understanding
und^1.0,complete mastery,und^1.0 = complete mastery,Cognitive,und,maximum,1.0,understanding
kno^0.1,uncertain,kno^0.1 = uncertain,Cognitive,kno,minimal,0.1,knowing/certainty
kno^0.2,slightly sure,kno^0.2 = slightly sure,Cognitive,kno,slight,0.2,knowing/certainty
kno^0.3,somewhat sure,kno^0.3 = somewhat sure,Cognitive,kno,subtle,0.3,knowing/certainty
kno^0.5,sure,kno^0.5 = sure,Cognitive,kno,moderate,0.5,knowing/certainty
kno^0.7,certain,kno^0.7 = certain,Cognitive,kno,strong,0.7,knowing/certainty
kno^0.8,absolute certainty,kno^0.8 = absolute certainty,Cognitive,kno,intense,0.8,knowing/certainty
kno^0.9,absolute certainty,kno^0.9 = absolute certainty,Cognitive,kno,extreme,0.9,knowing/certainty
kno^1.0,absolute certainty,kno^1.0 = absolute certainty,Cognitive,kno,maximum,1.0,knowing/certainty
bel^0.1,slight belief,bel^0.1 = slight belief,Cognitive,bel,minimal,0.1,believing
bel^0.2,somewhat believing,bel^0.2 = somewhat believing,Cognitive,bel,slight,0.2,believing
bel^0.3,fairly believing,bel^0.3 = fairly believing,Cognitive,bel,subtle,0.3,believing
bel^0.5,very believing,bel^0.5 = very believing,Cognitive,bel,moderate,0.5,believing
bel^0.7,absolute conviction,bel^0.7 = absolute conviction,Cognitive,bel,strong,0.7,believing
bel^0.8,unshakeable belief,bel^0.8 = unshakeable belief,Cognitive,bel,intense,0.8,believing
bel^0.9,unshakeable belief,bel^0.9 = unshakeable belief,Cognitive,bel,extreme,0.9,believing
bel^1.0,unshakeable belief,bel^1.0 = unshakeable belief,Cognitive,bel,maximum,1.0,believing
dou^0.1,slight doubt,dou^0.1 = slight doubt,Cognitive,dou,minimal,0.1,doubting
dou^0.2,somewhat doubtful,dou^0.2 = somewhat doubtful,Cognitive,dou,slight,0.2,doubting
dou^0.3,fairly doubtful,dou^0.3 = fairly doubtful,Cognitive,dou,subtle,0.3,doubting
dou^0.5,very doubtful,dou^0.5 = very doubtful,Cognitive,dou,moderate,0.5,doubting
dou^0.7,complete skepticism,dou^0.7 = complete skepticism,Cognitive,dou,strong,0.7,doubting
dou^0.8,absolute disbelief,dou^0.8 = absolute disbelief,Cognitive,dou,intense,0.8,doubting
dou^0.9,absolute disbelief,dou^0.9 = absolute disbelief,Cognitive,dou,extreme,0.9,doubting
dou^1.0,absolute disbelief,dou^1.0 = absolute disbelief,Cognitive,dou,maximum,1.0,doubting
rem^0.1,faint recall,rem^0.1 = faint recall,Cognitive,rem,minimal,0.1,remembering
rem^0.2,slight memory,rem^0.2 = slight memory,Cognitive,rem,slight,0.2,remembering
rem^0.3,somewhat remembered,rem^0.3 = somewhat remembered,Cognitive,rem,subtle,0.3,remembering
rem^0.5,well remembered,rem^0.5 = well remembered,Cognitive,rem,moderate,0.5,remembering
rem^0.7,crystal clear recall,rem^0.7 = crystal clear recall,Cognitive,rem,strong,0.7,remembering
rem^0.8,perfect recall,rem^0.8 = perfect recall,Cognitive,rem,intense,0.8,remembering
rem^0.9,perfect recall,rem^0.9 = perfect recall,Cognitive,rem,extreme,0.9,remembering
rem^1.0,perfect recall,rem^1.0 = perfect recall,Cognitive,rem,maximum,1.0,remembering
obl^0.1,slight lapse,obl^0.1 = slight lapse,Cognitive,obl,minimal,0.1,forgetting
obl^0.2,somewhat forgotten,obl^0.2 = somewhat forgotten,Cognitive,obl,slight,0.2,forgetting
obl^0.3,partially forgotten,obl^0.3 = partially forgotten,Cognitive,obl,subtle,0.3,forgetting
obl^0.5,well forgotten,obl^0.5 = well forgotten,Cognitive,obl,moderate,0.5,forgetting
obl^0.7,utterly erased,obl^0.7 = utterly erased,Cognitive,obl,strong,0.7,forgetting
obl^0.8,absolute amnesia,obl^0.8 = absolute amnesia,Cognitive,obl,intense,0.8,forgetting
obl^0.9,absolute amnesia,obl^0.9 = absolute amnesia,Cognitive,obl,extreme,0.9,forgetting
obl^1.0,absolute amnesia,obl^1.0 = absolute amnesia,Cognitive,obl,maximum,1.0,forgetting
ima^0.1,slight fantasy,ima^0.1 = slight fantasy,Cognitive,ima,minimal,0.1,imagining
ima^0.2,somewhat imaginative,ima^0.2 = somewhat imaginative,Cognitive,ima,slight,0.2,imagining
ima^0.3,fairly imaginative,ima^0.3 = fairly imaginative,Cognitive,ima,subtle,0.3,imagining
ima^0.5,very imaginative,ima^0.5 = very imaginative,Cognitive,ima,moderate,0.5,imagining
ima^0.7,wild imagination,ima^0.7 = wild imagination,Cognitive,ima,strong,0.7,imagining
ima^0.8,boundless fantasy,ima^0.8 = boundless fantasy,Cognitive,ima,intense,0.8,imagining
ima^0.9,boundless fantasy,ima^0.9 = boundless fantasy,Cognitive,ima,extreme,0.9,imagining
ima^1.0,boundless fantasy,ima^1.0 = boundless fantasy,Cognitive,ima,maximum,1.0,imagining
cur^0.1,slight interest,cur^0.1 = slight interest,Cognitive,cur,minimal,0.1,curiosity
cur^0.2,somewhat curious,cur^0.2 = somewhat curious,Cognitive,cur,slight,0.2,curiosity
cur^0.3,fairly curious,cur^0.3 = fairly curious,Cognitive,cur,subtle,0.3,curiosity
cur^0.5,very curious,cur^0.5 = very curious,Cognitive,cur,moderate,0.5,curiosity
cur^0.7,burning curiosity,cur^0.7 = burning curiosity,Cognitive,cur,strong,0.7,curiosity
cur^0.8,insatiable curiosity,cur^0.8 = insatiable curiosity,Cognitive,cur,intense,0.8,curiosity
cur^0.9,insatiable curiosity,cur^0.9 = insatiable curiosity,Cognitive,cur,extreme,0.9,curiosity
cur^1.0,insatiable curiosity,cur^1.0 = insatiable curiosity,Cognitive,cur,maximum,1.0,curiosity
att^0.1,minimal focus,att^0.1 = minimal focus,Cognitive,att,minimal,0.1,attention
att^0.2,slight attention,att^0.2 = slight attention,Cognitive,att,slight,0.2,attention
att^0.3,moderate attention,att^0.3 = moderate attention,Cognitive,att,subtle,0.3,attention
att^0.5,very attentive,att^0.5 = very attentive,Cognitive,att,moderate,0.5,attention
att^0.7,laser-focused,att^0.7 = laser-focused,Cognitive,att,strong,0.7,attention
att^0.8,total immersion,att^0.8 = total immersion,Cognitive,att,intense,0.8,attention
att^0.9,total immersion,att^0.9 = total immersion,Cognitive,att,extreme,0.9,attention
att^1.0,total immersion,att^1.0 = total immersion,Cognitive,att,maximum,1.0,attention
ign^0.1,slight distraction,ign^0.1 = slight distraction,Cognitive,ign,minimal,0.1,ignoring
ign^0.2,somewhat ignoring,ign^0.2 = somewhat ignoring,Cognitive,ign,slight,0.2,ignoring
ign^0.3,fairly ignoring,ign^0.3 = fairly ignoring,Cognitive,ign,subtle,0.3,ignoring
ign^0.5,very ignoring,ign^0.5 = very ignoring,Cognitive,ign,moderate,0.5,ignoring
ign^0.7,total dismissal,ign^0.7 = total dismissal,Cognitive,ign,strong,0.7,ignoring
ign^0.8,absolute oblivion,ign^0.8 = absolute oblivion,Cognitive,ign,intense,0.8,ignoring
ign^0.9,absolute oblivion,ign^0.9 = absolute oblivion,Cognitive,ign,extreme,0.9,ignoring
ign^1.0,absolute oblivion,ign^1.0 = absolute oblivion,Cognitive,ign,maximum,1.0,ignoring
lea^0.1,slight grasp,lea^0.1 = slight grasp,Cognitive,lea,minimal,0.1,learning
lea^0.2,basic understanding,lea^0.2 = basic understanding,Cognitive,lea,slight,0.2,learning
lea^0.3,good understanding,lea^0.3 = good understanding,Cognitive,lea,subtle,0.3,learning
lea^0.5,learning very well,lea^0.5 = learning very well,Cognitive,lea,moderate,0.5,learning
lea^0.7,complete mastery,lea^0.7 = complete mastery,Cognitive,lea,strong,0.7,learning
lea^0.8,enlightened,lea^0.8 = enlightened,Cognitive,lea,intense,0.8,learning
lea^0.9,enlightened,lea^0.9 = enlightened,Cognitive,lea,extreme,0.9,learning
lea^1.0,enlightened,lea^1.0 = enlightened,Cognitive,lea,maximum,1.0,learning
awa^0.1,barely conscious,awa^0.1 = barely conscious,States,awa,minimal,0.1,awareness
awa^0.2,slightly aware,awa^0.2 = slightly aware,States,awa,slight,0.2,awareness
awa^0.3,somewhat aware,awa^0.3 = somewhat aware,States,awa,subtle,0.3,awareness
awa^0.5,very aware,awa^0.5 = very aware,States,awa,moderate,0.5,awareness
awa^0.7,enlightened,awa^0.7 = enlightened,States,awa,strong,0.7,awareness
awa^0.8,omniscient,awa^0.8 = omniscient,States,awa,intense,0.8,awareness
awa^0.9,omniscient,awa^0.9 = omniscient,States,awa,extreme,0.9,awareness
awa^1.0,omniscient,awa^1.0 = omniscient,States,awa,maximum,1.0,awareness
sle^0.1,fully awake,sle^0.1 = fully awake,States,sle,minimal,0.1,sleepiness
sle^0.2,somewhat tired,sle^0.2 = somewhat tired,States,sle,slight,0.2,sleepiness
sle^0.3,fairly tired,sle^0.3 = fairly tired,States,sle,subtle,0.3,sleepiness
sle^0.5,very tired,sle^0.5 = very tired,States,sle,moderate,0.5,sleepiness
sle^0.7,completely exhausted,sle^0.7 = completely exhausted,States,sle,strong,0.7,sleepiness
sle^0.8,comatose,sle^0.8 = comatose,States,sle,intense,0.8,sleepiness
sle^0.9,comatose,sle^0.9 = comatose,States,sle,extreme,0.9,sleepiness
sle^1.0,comatose,sle^1.0 = comatose,States,sle,maximum,1.0,sleepiness
hun^0.1,barely hungry,hun^0.1 = barely hungry,States,hun,minimal,0.1,hunger
hun^0.2,slightly hungry,hun^0.2 = slightly hungry,States,hun,slight,0.2,hunger
hun^0.3,somewhat hungry,hun^0.3 = somewhat hungry,States,hun,subtle,0.3,hunger
hun^0.5,very hungry,hun^0.5 = very hungry,States,hun,moderate,0.5,hunger
hun^0.7,starving,hun^0.7 = starving,States,hun,strong,0.7,hunger
hun^0.8,absolute starvation,hun^0.8 = absolute starvation,States,hun,intense,0.8,hunger
hun^0.9,absolute starvation,hun^0.9 = absolute starvation,States,hun,extreme,0.9,hunger
hun^1.0,absolute starvation,hun^1.0 = absolute starvation,States,hun,maximum,1.0,hunger
str^0.1,barely strong,str^0.1 = barely strong,States,str,minimal,0.1,strength
str^0.2,slightly strong,str^0.2 = slightly strong,States,str,slight,0.2,strength
str^0.3,somewhat strong,str^0.3 = somewhat strong,States,str,subtle,0.3,strength
str^0.5,very strong,str^0.5 = very strong,States,str,moderate,0.5,strength
str^0.7,superhuman,str^0.7 = superhuman,States,str,strong,0.7,strength
str^0.8,ultimate strength,str^0.8 = ultimate strength,States,str,intense,0.8,strength
str^0.9,ultimate strength,str^0.9 = ultimate strength,States,str,extreme,0.9,strength
str^1.0,ultimate strength,str^1.0 = ultimate strength,States,str,maximum,1.0,strength
wea^0.1,barely weak,wea^0.1 = barely weak,States,wea,minimal,0.1,weakness
wea^0.2,slightly weak,wea^0.2 = slightly weak,States,wea,slight,0.2,weakness
wea^0.3,somewhat weak,wea^0.3 = somewhat weak,States,wea,subtle,0.3,weakness
wea^0.5,very weak,wea^0.5 = very weak,States,wea,moderate,0.5,weakness
wea^0.7,feeble,wea^0.7 = feeble,States,wea,strong,0.7,weakness
wea^0.8,complete incapacity,wea^0.8 = complete incapacity,States,wea,intense,0.8,weakness
wea^0.9,complete incapacity,wea^0.9 = complete incapacity,States,wea,extreme,0.9,weakness
wea^1.0,complete incapacity,wea^1.0 = complete incapacity,States,wea,maximum,1.0,weakness
hea^0.1,somewhat ill,hea^0.1 = somewhat ill,States,hea,minimal,0.1,healthiness
hea^0.2,mostly healthy,hea^0.2 = mostly healthy,States,hea,slight,0.2,healthiness
hea^0.3,fairly healthy,hea^0.3 = fairly healthy,States,hea,subtle,0.3,healthiness
hea^0.5,very healthy,hea^0.5 = very healthy,States,hea,moderate,0.5,healthiness
hea^0.7,robust,hea^0.7 = robust,States,hea,strong,0.7,healthiness
hea^0.8,perfect health,hea^0.8 = perfect health,States,hea,intense,0.8,healthiness
hea^0.9,perfect health,hea^0.9 = perfect health,States,hea,extreme,0.9,healthiness
hea^1.0,perfect health,hea^1.0 = perfect health,States,hea,maximum,1.0,healthiness
sic^0.1,minor illness,sic^0.1 = minor illness,States,sic,minimal,0.1,sickness
sic^0.2,somewhat sick,sic^0.2 = somewhat sick,States,sic,slight,0.2,sickness
sic^0.3,fairly sick,sic^0.3 = fairly sick,States,sic,subtle,0.3,sickness
sic^0.5,very sick,sic^0.5 = very sick,States,sic,moderate,0.5,sickness
sic^0.7,terminal,sic^0.7 = terminal,States,sic,strong,0.7,sickness
sic^0.8,absolute infirmity,sic^0.8 = absolute infirmity,States,sic,intense,0.8,sickness
sic^0.9,absolute infirmity,sic^0.9 = absolute infirmity,States,sic,extreme,0.9,sickness
sic^1.0,absolute infirmity,sic^1.0 = absolute infirmity,States,sic,maximum,1.0,sickness
you^0.1,aging,you^0.1 = aging,States,you,minimal,0.1,youth/newness
you^0.2,somewhat young,you^0.2 = somewhat young,States,you,slight,0.2,youth/newness
you^0.3,fairly young,you^0.3 = fairly young,States,you,subtle,0.3,youth/newness
you^0.5,very young,you^0.5 = very young,States,you,moderate,0.5,youth/newness
you^0.7,just created,you^0.7 = just created,States,you,strong,0.7,youth/newness
you^0.8,absolute newness,you^0.8 = absolute newness,States,you,intense,0.8,youth/newness
you^0.9,absolute newness,you^0.9 = absolute newness,States,you,extreme,0.9,youth/newness
you^1.0,absolute newness,you^1.0 = absolute newness,States,you,maximum,1.0,youth/newness
old^0.1,relatively new,old^0.1 = relatively new,States,old,minimal,0.1,age/oldness
old^0.2,somewhat old,old^0.2 = somewhat old,States,old,slight,0.2,age/oldness
old^0.3,fairly old,old^0.3 = fairly old,States,old,subtle,0.3,age/oldness
old^0.5,very old,old^0.5 = very old,States,old,moderate,0.5,age/oldness
old^0.7,primordial,old^0.7 = primordial,States,old,strong,0.7,age/oldness
old^0.8,eternal ancientness,old^0.8 = eternal ancientness,States,old,intense,0.8,age/oldness
old^0.9,eternal ancientness,old^0.9 = eternal ancientness,States,old,extreme,0.9,age/oldness
old^1.0,eternal ancientness,old^1.0 = eternal ancientness,States,old,maximum,1.0,age/oldness
dre^0.1,almost awake,dre^0.1 = almost awake,States,dre,minimal,0.1,dreaming
dre^0.2,slight dream-state,dre^0.2 = slight dream-state,States,dre,slight,0.2,dreaming
dre^0.3,fairly dreamy,dre^0.3 = fairly dreamy,States,dre,subtle,0.3,dreaming
dre^0.5,very dreamy,dre^0.5 = very dreamy,States,dre,moderate,0.5,dreaming
dre^0.7,immersed in dream,dre^0.7 = immersed in dream,States,dre,strong,0.7,dreaming
dre^0.8,dream-world merger,dre^0.8 = dream-world merger,States,dre,intense,0.8,dreaming
dre^0.9,dream-world merger,dre^0.9 = dream-world merger,States,dre,extreme,0.9,dreaming
dre^1.0,dream-world merger,dre^1.0 = dream-world merger,States,dre,maximum,1.0,dreaming
bor^0.1,slight interest,bor^0.1 = slight interest,States,bor,minimal,0.1,boredom
bor^0.2,somewhat interested,bor^0.2 = somewhat interested,States,bor,slight,0.2,boredom
bor^0.3,fairly interested,bor^0.3 = fairly interested,States,bor,subtle,0.3,boredom
bor^0.5,neutral interest,bor^0.5 = neutral interest,States,bor,moderate,0.5,boredom
bor^0.7,bored,bor^0.7 = bored,States,bor,strong,0.7,boredom
bor^0.8,terminally bored,bor^0.8 = terminally bored,States,bor,intense,0.8,boredom
bor^0.9,terminally bored,bor^0.9 = terminally bored,States,bor,extreme,0.9,boredom
bor^1.0,terminally bored,bor^1.0 = terminally bored,States,bor,maximum,1.0,boredom
mov^0.1,barely moving,mov^0.1 = barely moving,Action Intensity,mov,minimal,0.1,motion intensity
mov^0.2,slight motion,mov^0.2 = slight motion,Action Intensity,mov,slight,0.2,motion intensity
mov^0.3,slow motion,mov^0.3 = slow motion,Action Intensity,mov,subtle,0.3,motion intensity
mov^0.5,fast motion,mov^0.5 = fast motion,Action Intensity,mov,moderate,0.5,motion intensity
mov^0.7,rapid,mov^0.7 = rapid,Action Intensity,mov,strong,0.7,motion intensity
mov^0.8,instantaneous,mov^0.8 = instantaneous,Action Intensity,mov,intense,0.8,motion intensity
mov^0.9,instantaneous,mov^0.9 = instantaneous,Action Intensity,mov,extreme,0.9,motion intensity
mov^1.0,instantaneous,mov^1.0 = instantaneous,Action Intensity,mov,maximum,1.0,motion intensity
ris^0.1,barely rising,ris^0.1 = barely rising,Action Intensity,ris,minimal,0.1,rising intensity
ris^0.2,slightly rising,ris^0.2 = slightly rising,Action Intensity,ris,slight,0.2,rising intensity
ris^0.3,moderately rising,ris^0.3 = moderately rising,Action Intensity,ris,subtle,0.3,rising intensity
ris^0.5,rapidly rising,ris^0.5 = rapidly rising,Action Intensity,ris,moderate,0.5,rising intensity
ris^0.7,soaring,ris^0.7 = soaring,Action Intensity,ris,strong,0.7,rising intensity
ris^0.8,infinite ascension,ris^0.8 = infinite ascension,Action Intensity,ris,intense,0.8,rising intensity
ris^0.9,infinite ascension,ris^0.9 = infinite ascension,Action Intensity,ris,extreme,0.9,rising intensity
ris^1.0,infinite ascension,ris^1.0 = infinite ascension,Action Intensity,ris,maximum,1.0,rising intensity
fal^0.1,barely falling,fal^0.1 = barely falling,Action Intensity,fal,minimal,0.1,falling intensity
fal^0.2,slightly falling,fal^0.2 = slightly falling,Action Intensity,fal,slight,0.2,falling intensity
fal^0.3,moderately falling,fal^0.3 = moderately falling,Action Intensity,fal,subtle,0.3,falling intensity
fal^0.5,rapidly falling,fal^0.5 = rapidly falling,Action Intensity,fal,moderate,0.5,falling intensity
fal^0.7,plummeting,fal^0.7 = plummeting,Action Intensity,fal,strong,0.7,falling intensity
fal^0.8,infinite descent,fal^0.8 = infinite descent,Action Intensity,fal,intense,0.8,falling intensity
fal^0.9,infinite descent,fal^0.9 = infinite descent,Action Intensity,fal,extreme,0.9,falling intensity
fal^1.0,infinite descent,fal^1.0 = infinite descent,Action Intensity,fal,maximum,1.0,falling intensity
gro^0.1,minimal growth,gro^0.1 = minimal growth,Action Intensity,gro,minimal,0.1,growth
gro^0.2,slight growth,gro^0.2 = slight growth,Action Intensity,gro,slight,0.2,growth
gro^0.3,moderate growth,gro^0.3 = moderate growth,Action Intensity,gro,subtle,0.3,growth
gro^0.5,rapid growth,gro^0.5 = rapid growth,Action Intensity,gro,moderate,0.5,growth
gro^0.7,exponential growth,gro^0.7 = exponential growth,Action Intensity,gro,strong,0.7,growth
gro^0.8,infinite expansion,gro^0.8 = infinite expansion,Action Intensity,gro,intense,0.8,growth
gro^0.9,infinite expansion,gro^0.9 = infinite expansion,Action Intensity,gro,extreme,0.9,growth
gro^1.0,infinite expansion,gro^1.0 = infinite expansion,Action Intensity,gro,maximum,1.0,growth
dec^0.1,minimal decay,dec^0.1 = minimal decay,Action Intensity,dec,minimal,0.1,decay
dec^0.2,slight decay,dec^0.2 = slight decay,Action Intensity,dec,slight,0.2,decay
dec^0.3,moderate decay,dec^0.3 = moderate decay,Action Intensity,dec,subtle,0.3,decay
dec^0.5,rapid decay,dec^0.5 = rapid decay,Action Intensity,dec,moderate,0.5,decay
dec^0.7,absolute dissolution,dec^0.7 = absolute dissolution,Action Intensity,dec,strong,0.7,decay
dec^0.8,total destruction,dec^0.8 = total destruction,Action Intensity,dec,intense,0.8,decay
dec^0.9,total destruction,dec^0.9 = total destruction,Action Intensity,dec,extreme,0.9,decay
dec^1.0,total destruction,dec^1.0 = total destruction,Action Intensity,dec,maximum,1.0,decay
exp^0.1,minimal expansion,exp^0.1 = minimal expansion,Action Intensity,exp,minimal,0.1,expansion
exp^0.2,slight expansion,exp^0.2 = slight expansion,Action Intensity,exp,slight,0.2,expansion
exp^0.3,moderate expansion,exp^0.3 = moderate expansion,Action Intensity,exp,subtle,0.3,expansion
exp^0.5,rapid expansion,exp^0.5 = rapid expansion,Action Intensity,exp,moderate,0.5,expansion
exp^0.7,rapid-fire,exp^0.7 = rapid-fire,Action Intensity,exp,strong,0.7,expansion
exp^0.8,instantaneous spread,exp^0.8 = instantaneous spread,Action Intensity,exp,intense,0.8,expansion
exp^0.9,instantaneous spread,exp^0.9 = instantaneous spread,Action Intensity,exp,extreme,0.9,expansion
exp^1.0,instantaneous spread,exp^1.0 = instantaneous spread,Action Intensity,exp,maximum,1.0,expansion
con^0.1,minimal contraction,con^0.1 = minimal contraction,Action Intensity,con,minimal,0.1,contraction
con^0.2,slight contraction,con^0.2 = slight contraction,Action Intensity,con,slight,0.2,contraction
con^0.3,moderate contraction,con^0.3 = moderate contraction,Action Intensity,con,subtle,0.3,contraction
con^0.5,rapid contraction,con^0.5 = rapid contraction,Action Intensity,con,moderate,0.5,contraction
con^0.7,implosion,con^0.7 = implosion,Action Intensity,con,strong,0.7,contraction
con^0.8,point-singularity,con^0.8 = point-singularity,Action Intensity,con,intense,0.8,contraction
con^0.9,point-singularity,con^0.9 = point-singularity,Action Intensity,con,extreme,0.9,contraction
con^1.0,point-singularity,con^1.0 = point-singularity,Action Intensity,con,maximum,1.0,contraction
rot^0.1,barely rotating,rot^0.1 = barely rotating,Action Intensity,rot,minimal,0.1,rotation
rot^0.2,slight rotation,rot^0.2 = slight rotation,Action Intensity,rot,slight,0.2,rotation
rot^0.3,moderate rotation,rot^0.3 = moderate rotation,Action Intensity,rot,subtle,0.3,rotation
rot^0.5,fast rotation,rot^0.5 = fast rotation,Action Intensity,rot,moderate,0.5,rotation
rot^0.7,spinning,rot^0.7 = spinning,Action Intensity,rot,strong,0.7,rotation
rot^0.8,absolute spin,rot^0.8 = absolute spin,Action Intensity,rot,intense,0.8,rotation
rot^0.9,absolute spin,rot^0.9 = absolute spin,Action Intensity,rot,extreme,0.9,rotation
rot^1.0,absolute spin,rot^1.0 = absolute spin,Action Intensity,rot,maximum,1.0,rotation
big^0.1,tiny,big^0.1 = tiny,Abstract,big,minimal,0.1,magnitude/proportion
big^0.2,small,big^0.2 = small,Abstract,big,slight,0.2,magnitude/proportion
big^0.3,moderate,big^0.3 = moderate,Abstract,big,subtle,0.3,magnitude/proportion
big^0.5,huge,big^0.5 = huge,Abstract,big,moderate,0.5,magnitude/proportion
big^0.7,colossal,big^0.7 = colossal,Abstract,big,strong,0.7,magnitude/proportion
big^0.8,infinite,big^0.8 = infinite,Abstract,big,intense,0.8,magnitude/proportion
big^0.9,infinite,big^0.9 = infinite,Abstract,big,extreme,0.9,magnitude/proportion
big^1.0,infinite,big^1.0 = infinite,Abstract,big,maximum,1.0,magnitude/proportion
